e0:ac:f1:09:3e:4b,3
5c:5e:ab:a0:59:c2,10
ac:4b:c8:97:c7:c1,4
00:0f:35:c0:1c:00,1
68:ef:bd:ac:42:48,1
88:e0:f3:be:47:c4,1
6c:9c:ed:76:91:93,1
8c:b6:4f:e9:53:60,4
a8:0c:0d:33:b2:ed,1
80:71:1f:eb:9f:c3,5
b0:a8:6e:3a:1f:c1,3
7a:fe:3d:06:62:b3,5
00:1d:b5:28:77:c0,1
00:22:83:dd:77:c1,1
dc:38:e1:b0:7d:9c,1
40:55:39:3b:4b:13,4
00:23:9c:c7:87:c0,1
00:23:9c:55:17:c1,3
40:b4:f0:ef:3e:73,4
00:04:96:51:bd:39,8
3c:94:d5:01:37:c3,1
08:81:f4:82:39:6d,1
00:1f:12:bb:b7:c3,1
00:1f:12:b0:bf:c6,1
84:78:ac:32:2b:12,1
00:24:dc:77:5f:c0,1
3c:94:d5:20:08:29,1
a8:0c:0d:58:e3:51,1
00:22:83:f6:98:29,1
58:8d:09:b4:6c:00,2
02:23:9c:95:a9:6f,5
00:25:84:7c:42:00,1
e4:c7:22:5b:35:84,13
00:24:dc:41:a7:c1,1
64:87:88:d6:6a:3e,1
00:24:38:a4:7a:00,36
00:1c:b0:ca:3e:00,1
00:12:1e:9b:66:79,2
b0:a8:6e:e1:07:f3,17
00:23:33:fa:45:41,2
e0:5f:b9:4d:f7:80,1
00:21:d7:cd:21:00,37
00:1c:b0:b5:4e:00,1
00:1b:ed:25:39:c0,11
44:f4:77:27:0d:03,6
02:22:83:7d:91:46,10
1c:df:0f:a1:38:c6,3
2a:8a:1c:eb:4c:d2,2
00:16:47:55:ad:c0,1
00:23:04:18:dd:40,2
00:17:cb:1c:3f:f0,2
70:81:05:14:40:00,4
00:1d:b5:c0:59:21,1
00:19:e2:b7:71:20,1
78:19:f7:46:07:c2,4
40:55:39:3b:55:23,2
00:04:96:51:bd:a2,1
00:18:74:14:14:40,1
00:25:84:7b:ae:80,1
cc:4e:24:93:1b:93,1
00:1d:b5:2f:f7:cb,1
a8:d0:e5:53:4b:2e,1
00:22:be:60:3b:84,2
00:17:cb:d7:43:38,1
00:12:44:de:e5:00,5
00:1e:13:e5:19:00,5
2c:6b:f5:48:9f:c2,4
78:fe:3d:a7:27:c3,1
00:22:83:36:21:ef,1
00:26:88:c5:aa:fb,4
50:3d:e5:3b:ac:7f,5
00:16:4d:ca:2a:9e,1
00:22:83:45:37:f2,2
50:c5:8d:97:a6:ed,24
00:24:c4:bf:ce:80,2
00:11:bc:ea:74:0a,4
d4:6d:50:16:c0:2b,21
e0:ac:f1:5f:a8:a6,1
00:23:9c:9c:a5:28,2
00:24:38:a5:c8:c0,1
3c:8a:b0:89:2a:88,1
00:1b:0d:e4:ef:40,1
78:19:f7:46:0f:c2,2
84:78:ac:39:ee:64,7
28:c0:da:00:d7:c1,1
78:19:f7:38:07:cb,3
00:24:dc:b8:e7:c1,1
00:18:73:83:2e:37,5
88:f0:77:35:11:98,1
b0:c6:9a:e3:27:c4,6
78:19:f7:f2:58:a5,1
a8:0c:0d:37:01:df,1
00:23:9c:c7:f7:c0,1
82:71:1f:7b:b1:9a,2
00:19:2f:58:9b:87,2
00:14:1b:d4:e0:00,1
64:00:f1:0d:f9:47,1
00:1d:b5:e6:bf:f0,1
d4:6d:50:16:d9:53,2
00:1f:12:b2:a7:c2,1
a0:f3:e4:8c:ef:71,3
00:23:ab:e7:54:1a,1
00:17:cb:da:37:c2,2
