(u'cc:e1:7f:05:2b:c1', u'e64428aa50a6043f5a24643cd2c2922e'),1
(u'b0:a8:6e:e1:07:f3', u'65ef35a04d2ec94bd1d62fd70b6ad3e0'),1
(u'd4:6d:50:16:c0:2b', u'584b771a7b9cb7e3bb4abc636b524292'),1
(u'cc:e1:7f:05:2b:c1', u'fe921883a5bd7c6b1e8ada17a30e2068'),1
(u'00:17:cb:df:4f:c4', u'959fed8f507e7baa28819058f73285a0'),1
(u'00:24:38:a4:7a:00', u'3a60bb9723242c68df414df7f54ede19'),3
(u'cc:e1:7f:05:2b:c1', u'5a2fffa597eec713c792f7a7f20d3c72'),1
(u'00:17:cb:df:4f:c4', u'634365dd980d656323b00d3caed73301'),1
(u'00:17:cb:df:4f:c4', u'6917229894970d6d49d0522bed690c4e'),1
(u'd4:6d:50:16:c0:2b', u'66071eb6bfd98ac669f2519d98c75d73'),1
(u'00:17:cb:df:4f:c4', u'acf7ad80ea7f04945b2adc9ab77b8172'),1
(u'00:24:38:a4:7a:00', u'54b6a59fa3ad87913d677c079078e340'),1
(u'00:17:cb:df:4f:c4', u'bd8d2719fbad0f232752b9e4380e8e10'),2
(u'00:21:d7:cd:21:00', u'88a2167b4922fab150275c124f0021ab'),75
(u'00:24:38:a4:7a:00', u'f1f17934834ae2613699701054ef9684'),5
(u'00:17:cb:df:4f:c4', u'3f7f59eb1d61d899bbfd8046d58901e0'),1
(u'00:24:38:a4:7a:00', u'cd4de6391cbfd3ee697995ff3704dd7b'),8
(u'00:17:cb:df:4f:c4', u'8586af8ce261ccf91f9350f6992c83f9'),1
(u'50:c5:8d:97:a6:ed', u'c939c62fa9d3a3d9e44cff6efc3ae976'),1
(u'00:17:cb:df:4f:c4', u'52e8408d83de0156f1304f4a23617b14'),1
(u'00:17:cb:df:4f:c4', u'8625c234d33d00a4aa7b0b03553eabfd'),1
(u'00:21:d7:cd:21:00', u'956c421bb8d0f046b29e341627548fde'),7
(u'b0:a8:6e:e1:07:f3', u'1f1884f92a8c6505405f77ef81e25977'),9
(u'cc:e1:7f:05:2b:c1', u'070121939af1937af8cfef4bc9c23e37'),1
(u'00:24:38:a4:7a:00', u'44d359ce7b3f0d2882b99ab2925977f6'),6
(u'b0:a8:6e:e1:07:f3', u'33aa75f7ae90a3a4b58ef968f6a9ebe5'),1
(u'00:17:cb:df:4f:c4', u'89c86a382a9bbfe6d064a33b12f7c05e'),2
(u'00:24:38:a4:7a:00', u'679ac206d3ecce9662a1adb024c17b4c'),10
(u'50:c5:8d:97:a6:ed', u'72adcb3ec4c0c0b94911c76a0779f402'),8
(u'00:24:38:a4:7a:00', u'9779c5a24320c2c7a503769a6063e27c'),1
(u'00:17:cb:df:4f:c4', u'0abefe4b7252785f5a45e3646932781e'),1
(u'00:24:38:a4:7a:00', u'7bcd2c8d1b4f88807b812d398085b49a'),1
(u'00:24:38:a4:7a:00', u'347db7eb9c019e26692c5e783cdcc403'),1
(u'00:17:cb:df:4f:c4', u'b4f5eb4b143a9be27b4dd41561fa334b'),1
(u'00:24:38:a4:7a:00', u'0510e50860dc5050e005098657718a83'),1
(u'00:17:cb:df:4f:c4', u'9db83180cd29cee6af6ee5fb8ba7bb3e'),1
(u'00:17:cb:df:4f:c4', u'58f51263de84903d083ccf3d2318be15'),1
(u'00:24:38:a4:7a:00', u'a2939f92b0d46a0aa5a53ec4b181ea51'),1
(u'cc:e1:7f:05:2b:c1', u'3def7e9a7fb83531aa157dcb1ad7bf08'),1
(u'00:21:d7:cd:21:00', u'a5195920f3bdf3fffaeb60eaee3036f0'),36
(u'00:17:cb:df:4f:c4', u'4916dc7c56b681defafc3a77e2c2512b'),1
(u'cc:e1:7f:05:2b:c1', u'e64bc0fa2bbb1885f1e1bbf1aa3f7760'),1
(u'b0:a8:6e:e1:07:f3', u'5889dc182d2af42f49191ba9803c5cc4'),1
(u'00:24:38:a4:7a:00', u'b0713770211ac6c9c4377f8892a3b81a'),1
(u'b0:a8:6e:e1:07:f3', u'f13a2c194f5a5528b0ebf2f7a7dc9ccb'),1
(u'cc:e1:7f:05:2b:c1', u'83ddf52e588b4a0790de41d4b776d9a3'),1
(u'd4:6d:50:16:c0:2b', u'117bbe98ec689f2afeb683ae1de3dd3f'),12
(u'00:17:cb:df:4f:c4', u'109371f302776537fd26f0bceaca35bb'),1
(u'd4:6d:50:16:c0:2b', u'be3566fe180292db9f2e8820f042fd65'),1
(u'50:c5:8d:97:a6:ed', u'363137fa46736a47e02807581d610981'),1
(u'cc:e1:7f:05:2b:c1', u'391e355573d693f1d58d97626d879f68'),31
(u'00:24:38:a4:7a:00', u'c51221a693d6c3b7ecdf509a1a3a6aaa'),1
(u'50:c5:8d:97:a6:ed', u'4b724e26090ab467209d1fd056d49ba3'),1
(u'50:c5:8d:97:a6:ed', u'881113710c45ec8adf0786ab0a983b01'),1
(u'00:24:38:a4:7a:00', u'3412a155076885a4dcb8f37c8ce7a775'),1
(u'00:24:38:a4:7a:00', u'4b4af7c02e4962f26d738d6efb3fdf8e'),1
(u'00:24:38:a4:7a:00', u'a2b76a7d858479f82f84490614c3aca2'),1
(u'00:17:cb:df:4f:c4', u'1e595969810413d34b5a9c298dad828a'),1
(u'00:21:d7:cd:21:00', u'218916c0c1b81de5b1828bd415300713'),36
(u'cc:e1:7f:05:2b:c1', u'aa4de210959f46e01db7cd4f9a6d70ee'),1
(u'88:e0:f3:4e:dd:c0', u'f1f17934834ae2613699701054ef9684'),1
(u'00:17:cb:df:4f:c4', u'73e5227185b9a81a4584b991648c0494'),1
(u'00:17:cb:df:4f:c4', u'234c5c56630edaf6f2da4131af7cf987'),1
(u'00:17:cb:df:4f:c4', u'49bf8889e5fdde6490a6be7cde27c3b1'),1
(u'00:17:cb:df:4f:c4', u'69770d2f24423903bb2c3d2cf5d8c660'),1
(u'00:17:cb:df:4f:c4', u'c397063533f7c6e0fe38bb15cd707f8e'),1
(u'00:17:cb:df:4f:c4', u'0dfdbfa6b22c17b18b5f185b751ab526'),1
(u'00:17:cb:df:4f:c4', u'695581880fb1194919885c243e43f4e5'),1
(u'50:c5:8d:97:a6:ed', u'eae60d3e8602594f0ab6baa3087e327a'),1
(u'50:c5:8d:97:a6:ed', u'9b208c4c408e70c5e55e6e18e7526c92'),1
(u'00:17:cb:df:4f:c4', u'df2756358bdd31c5c7fcea33f592e0b9'),1
(u'00:21:d7:cd:21:00', u'220e77ed9d1fade2faab4e28cc599706'),32
(u'00:17:cb:df:4f:c4', u'8009d22dd6a5c26afa14fe4a2ab6b933'),1
(u'00:17:cb:df:4f:c4', u'788cdc173013d95dc6d8f6c5d438566f'),1
(u'00:21:d7:cd:21:00', u'2323412a756c3e7a479467d3aabf4592'),118
(u'00:24:38:a4:7a:00', u'b530fe0c715b1072977ee16a648b5653'),1
(u'cc:e1:7f:05:2b:c1', u'773467f69567a62c29132bc97cf79339'),1
(u'00:17:cb:df:4f:c4', u'919ea3e9b46c83fe42bb5d947f573ce8'),1
(u'00:21:d7:cd:21:00', u'fa1b3eb02f3b97363b09bb95746fd626'),1
(u'88:e0:f3:4e:dd:c0', u'679ac206d3ecce9662a1adb024c17b4c'),69
(u'50:c5:8d:97:a6:ed', u'bf63bbae15c72e66c601698e2d377f30'),1
(u'00:17:cb:df:4f:c4', u'53e3c4e99d70a553d3300d8f15100322'),1
(u'00:24:38:a4:7a:00', u'0fed95d6409e5a0075106ce7b3375318'),1
(u'00:17:cb:df:4f:c4', u'2d56a13f0fccb67eb289c481fd89d1bf'),1
(u'88:e0:f3:4e:dd:c0', u'3c55fc1b97dc1197df32ec0c8d39d5f5'),1
(u'00:24:38:89:cb:00', u'93e7134fda8d35ef9f345cdd3b64d6be'),100
(u'cc:e1:7f:05:2b:c1', u'49440adc1cc8a5966223567e903df0e7'),1
(u'b0:a8:6e:e1:07:f3', u'26acdeee13ada59b935f7a6837252234'),1
(u'50:c5:8d:97:a6:ed', u'dfb171856ba393a4202f2eca02a17d64'),1
(u'00:24:38:a4:7a:00', u'2c24bb605b8cdaf4ccdd79ee8904db7f'),4
(u'00:17:cb:df:4f:c4', u'd4fda55c0f5839497fd011c7bce81cd7'),1
(u'00:17:cb:df:4f:c4', u'd845e70ae776588a92e6ad0bcd3836e6'),1
(u'00:21:d7:cd:21:00', u'd67cf3abbf0ac595fbedd67f66248c57'),7
(u'50:c5:8d:97:a6:ed', u'85e4b84d787387ec5de3958b0202c19a'),1
